character,pinyin_hanziDB,pinyin_qxk,meaning,pinyin_hanziDB_qxk,pinyin_name,pinyin_givenname,pinyin_familyname,pinyin,tone,tone_name,tone_familyname,tone_givenname,pinyin_notone,eng,eng_name,eng_familyname,eng_givenname
钿,diàn,diàn#tián,diàn	[鈿]	用金银珠贝等镶嵌成的花朵形装饰。～镜|宝～|翠～|螺～。,diàn#tián,diàn#tián,diàn#tián,diàn#tián,diàn#tián,4#2,4#2,4#2,4#2,dian#tian,dian#tian,dian#tian,dian#tian,dian#tian
铀,yóu,yóu,yóu	[鈾]	金属元素，符号U，银白色，有放射性，化学性质活泼，主要用于核工业，做核燃料。,yóu,yóu,yóu,yóu,yóu,2,2,2,2,you,you,you,you,you
铂,bó,bó,bó	[鉑]	金属元素。符号Pt。银灰色，质软，有光泽，富延展性，导电、导热性能良好，化学性质稳定。可用来制耐腐蚀的化学仪器、电极、催化剂等。,bó,bó,bó,bó,bó,2,2,2,2,bo,bo,bo,bo,bo
铄,shuò,shuò,shuò	[鑠]	熔化（金属）。～铁为刃｜众口～金（比喻舆论影响非常大）｜～石流金（比喻天气十分炎热）。,shuò,shuò,shuò,shuò,shuò,4,4,4,4,shuo,shuo,shuo,shuo,shuo
铆,mǎo,mǎo,mǎo	[鉚]	铆接，用特制的钉子把金属构件连接固定在一起。～工|～钉。,mǎo,mǎo,mǎo,mǎo,mǎo,3,3,3,3,mao,mao,mao,mao,mao
铈,shì,shì,shì	[鈰]	金属元素，符号Ce，是稀土元素之一，灰色，质软，有延展性，易导热，不易导电，化学性质活泼，可用来制造合金、特种玻璃、催化剂等。,shì,shì,shì,shì,shì,4,4,4,4,shi,shi,shi,shi,shi
铉,xuàn,xuàn,xuàn	[鉉]	古代横贯鼎耳、用来举鼎的器具。,xuàn,xuàn,xuàn,xuàn,xuàn,4,4,4,4,xuan,xuan,xuan,xuan,xuan
铊,tā,tā#tuó,1tā	[鉈]	金属元素，符号Tl，白色带蓝光，质软，铊的化合物大多数有毒，可用来制电子器件、光学玻璃和药物等。#####2tuó	[鉈]	秤铊，称东西时用来使秤平衡的金属锤。,tā#tuó,tā#tuó,tā#tuó,tā#tuó,tā#tuó,1#2,1#2,1#2,1#2,ta#tuo,ta#tuo,ta#tuo,ta#tuo,ta#tuo
铋,bì,bì,bì	[鉍]	金属元素。符号Bi。白色或粉红色，质软。用于制低熔点合金、核反应堆冷却剂等。,bì,bì,bì,bì,bì,4,4,4,4,bi,bi,bi,bi,bi
铌,ní,ní,ní	[鈮]	金属元素。符号Nb。钢灰色，质硬，有延性。可用来制耐高温、耐腐蚀的合金和超导材料等，也用于核工业。,ní,ní,ní,ní,ní,2,2,2,2,ni,ni,ni,ni,ni
铍,pī,pí#pī,pí	[鈹]	金属元素。符号Be。浅灰色，铍铝合金质轻而坚硬，有延展性。可用来制造飞机、火箭和精密仪器等，也用于核工业。,pí#pī,pí#pī,pí#pī,pí#pī,pí#pī,2#1,2#1,2#1,2#1,pi#pi,pi,pi,pi,pi
䥽,pō,pō,pō	[鏺]	1:用镰刀割（草、谷物等）。2:一种镰刀。,pō,pō,pō,pō,pō,1,1,1,1,po,po,po,po,po
铎,duó,duó,duó 	[鐸]	古代响器。形状像大铃，宣布政令或有战事时使用。金～|木～|振～。,duó,duó,duó,duó,duó,2,2,2,2,duo,duo,duo,duo,duo
氩,yà,yà,yà	[氬]	气体元素，符号Ar，无色、无臭、无味，化学性质很不活泼，不能燃烧，也不助燃，是一种稀有气体，可用作电弧焊接和切割金属时的保护性气体，放电时发出紫色光，可填充荧光灯、光电管等。,yà,yà,yà,yà,yà,4,4,4,4,ya,ya,ya,ya,ya
氤,yīn,yīn,yīn	【氤氲（yūn）】 〈文〉烟云弥漫的样子。云烟～。,yīn,yīn,yīn,yīn,yīn,1,1,1,1,yin,yin,yin,yin,yin
氦,hài,hài,hài	气体元素。符号He。无色无臭，很轻，化学性质很不活泼，是一种稀有气体。可以用来填充气球、电子管、潜水服等。,hài,hài,hài,hài,hài,4,4,4,4,hai,hai,hai,hai,hai
毪,mú,mú,mú	毪子，中国西藏地区出产的一种羊毛织品。,mú,mú,mú,mú,mú,2,2,2,2,mu,mu,mu,mu,mu
舐,shì,shì,shì	舔。～吮｜举笔～墨｜老牛～犊（比喻父母疼爱子女）。,shì,shì,shì,shì,shì,4,4,4,4,shi,shi,shi,shi,shi
秣,mò,mò,mò	1:牲口的饲料。粮～。2:喂牲口。～马厉兵。,mò,mò,mò,mò,mò,4,4,4,4,mo,mo,mo,mo,mo
秫,shú,shú,shú	指有黏性的高粱，也泛指高粱。～米｜～秸。,shú,shú,shú,shú,shú,2,2,2,2,shu,shu,shu,shu,shu
盉,hé,hé,hé	古代酒器。腹大口小，铜制，上有盖，下有三足。,hé,hé,hé,hé,hé,2,2,2,2,he,he,he,he,he
笄,jī,jī,jī	古代用来束发（fà）或别住帽子的簪子。,jī,jī,jī,jī,jī,1,1,1,1,ji,ji,ji,ji,ji
笕,jiǎn,jiǎn,jiǎn	[筧]	田间或檐下引水用的长竹管。,jiǎn,jiǎn,jiǎn,jiǎn,jiǎn,3,3,3,3,jian,jian,jian,jian,jian
笊,zhào,zhào,zhào	【笊篱（li）】 用竹篾、铁丝等制成的有网眼的用具，有长柄，用来在汤水中捞取东西。,zhào,zhào,zhào,zhào,zhào,4,4,4,4,zhao,zhao,zhao,zhao,zhao
笏,hù,hù,hù	古代臣子朝见君主时君臣手中所拿的狭长小板，用玉、象牙或竹木制成，上面可以记事。,hù,hù,hù,hù,hù,4,4,4,4,hu,hu,hu,hu,hu
笆,bā,bā,bā	用竹片、树的枝条等编成的片状物。～斗|～篓|篱～|竹～|荆～。,bā,bā,bā,bā,bā,1,1,1,1,ba,ba,ba,ba,ba
俸,fèng,fèng,fèng	俸禄，旧时官吏的薪水。～银|年～|薪～。,fèng,fèng,fèng,fèng,fèng,4,4,4,4,feng,feng,feng,feng,feng
倩,qiàn,qiàn,qiàn	美好；美丽。～女|～影|～装。,qiàn,qiàn,qiàn,qiàn,qiàn,4,4,4,4,qian,qian,qian,qian,qian
俵,biào,biào,biào	〈文〉分给。分～|～给。,biào,biào,biào,biào,biào,4,4,4,4,biao,biao,biao,biao,biao
偌,ruò,ruò,ruò	代词。 这么；那么。～大的广场。,ruò,ruò,ruò,ruò,ruò,4,4,4,4,ruo,ruo,ruo,ruo,ruo
俳,pái,pái,pái	1:古代指杂戏、滑稽戏，也指表演杂戏、滑稽戏的人。～优|倡～。2:【俳句】 日本的一种短诗。格式为三句，各句分别为五音、七音、五音，共十七音。,pái,pái,pái,pái,pái,2,2,2,2,pai,pai,pai,pai,pai
俶,chù,chù#tì,chù	〈文〉开始。～始｜～载。,chù#tì,chù#tì,chù#tì,chù#tì,chù#tì,4#4,4#4,4#4,4#4,chu#ti,chu#ti,chu#ti,chu#ti,chu#ti
倬,zhuō,zhuō,zhuō	〈文〉高大；显著。,zhuō,zhuō,zhuō,zhuō,zhuō,1,1,1,1,zhuo,zhuo,zhuo,zhuo,zhuo
倏,shū,shū,shū	副词。 极快地；迅速地。～尔消失。,shū,shū,shū,shū,shū,1,1,1,1,shu,shu,shu,shu,shu
恁,nèn,nèn#nín,nèn	1:代词。 那。～时。2:代词。 那么；那样。～些|～好看|～不听劝。,nèn#nín,nèn#nín,nèn#nín,nèn#nín,nèn#nín,4#2,4#2,4#2,4#2,nen#nin,nen#nin,nen#nin,nen#nin,nen#nin
倭,wō,wō#wēi,wō	中国古代称日本。～国|～人|～寇。,wō#wēi,wō#wēi,wō#wēi,wō#wēi,wō#wēi,1#1,1#1,1#1,1#1,wo#wei,wo#wei,wo#wei,wo#wei,wo#wei
倪,ní,ní,ní	1:边际；分际。端～。2:（Ní）姓。,ní,ní,ní,ní,ní,2,2,2,2,ni,ni,ni,ni,ni
俾,bǐ,bǐ,bǐ	〈文〉使（达到某种目的）。～有所获|～众周知|无～民忧。,bǐ,bǐ,bǐ,bǐ,bǐ,3,3,3,3,bi,bi,bi,bi,bi
倜,tì,tì,tì	【倜傥（tǎng）】 洒脱；不拘束。～放荡|～不羁|风流～。,tì,tì,tì,tì,tì,4,4,4,4,ti,ti,ti,ti,ti
隼,sǔn,sǔn,sǔn	鸟名外形略像鹰，翅窄而尖，飞得很快，是猛禽种类很多。,sǔn,sǔn,sǔn,sǔn,sǔn,3,3,3,3,sun,sun,sun,sun,sun
隽,juàn,jùn#juàn,juàn	（言语、诗文）意味深长。～永|～语。,jùn#juàn,jùn#juàn,jùn#juàn,jùn#juàn,jùn#juàn,4#4,4#4,4#4,4#4,jun#juan,jun#juan,jun#juan,jun#juan,jun#juan
倌,guān,guān,guān	农村中专管饲养某些家畜的人。羊～儿|猪～儿。,guān,guān,guān,guān,guān,1,1,1,1,guan,guan,guan,guan,guan
倥,kōng,kōng#kǒng,kǒng	1:【倥偬（zǒng）】 匆忙；急迫。戎马～|军务～。2:【倥偬（zǒng）】 穷困。～拮据。,kōng#kǒng,kōng#kǒng,kōng#kǒng,kōng#kǒng,kōng#kǒng,1#3,1#3,1#3,1#3,kong#kong,kong,kong,kong,kong
臬,niè,niè,niè	法度；准则。圭～。,niè,niè,niè,niè,niè,4,4,4,4,nie,nie,nie,nie,nie
皋,gāo,gāo#háo,gāo	〈文〉水边的高地。汉～|江～。,gāo#háo,gāo#háo,gāo#háo,gāo#háo,gāo#háo,1#2,1#2,1#2,1#2,gao#hao,gao#hao,gao#hao,gao#hao,gao#hao
郫,pí,pí,pí	1:郫县，地名。在四川。2:郫江，水名。在四川，是岷江的支流。,pí,pí,pí,pí,pí,2,2,2,2,pi,pi,pi,pi,pi
倨,jù,jù,jù	傲慢。～傲|前～后恭。,jù,jù,jù,jù,jù,4,4,4,4,ju,ju,ju,ju,ju
衄,nǜ,nǜ,nǜ	1:鼻孔出血，也泛指出血。鼻～|齿～|血～。2:溃败；损伤。战～|败～。,nǜ,nǜ,nǜ,nǜ,nǜ,4,4,4,4,nv,nv,nv,nv,nv
颀,qí,qí,qí	[頎]	（身体）修长。～长|～伟|秀～。,qí,qí,qí,qí,qí,2,2,2,2,qi,qi,qi,qi,qi
徕,lái,lài#lái,lái	[徠]	【招徕】 招揽。～顾客。,lài#lái,lài#lái,lài#lái,lài#lái,lài#lái,4#2,4#2,4#2,4#2,lai#lai,lai,lai,lai,lai
舫,fǎng,fǎng,fǎng	船，特指游船。～舟|画～|游～。,fǎng,fǎng,fǎng,fǎng,fǎng,3,3,3,3,fang,fang,fang,fang,fang
釜,fǔ,fǔ,fǔ	古代的炊具，类似现在的锅。～底抽薪|破～沉舟。,fǔ,fǔ,fǔ,fǔ,fǔ,3,3,3,3,fu,fu,fu,fu,fu
奚,xī,xī,xī	姓。,xī,xī,xī,xī,xī,1,1,1,1,xi,xi,xi,xi,xi
衾,qīn,qīn,qīn	〈文〉被子。～枕|生同～，死同穴。,qīn,qīn,qīn,qīn,qīn,1,1,1,1,qin,qin,qin,qin,qin
胯,kuà,kuà,kuà	腰和大腿之间的部分。～骨|～下。,kuà,kuà,kuà,kuà,kuà,4,4,4,4,kua,kua,kua,kua,kua
胱,guāng,guāng,guāng	【膀（páng）胱】 见“膀”。,guāng,guāng,guāng,guāng,guāng,1,1,1,1,guang,guang,guang,guang,guang
胴,dòng,dòng,dòng	躯干；体腔。～体。,dòng,dòng,dòng,dòng,dòng,4,4,4,4,dong,dong,dong,dong,dong
胭,yān,yān,yān	1:胭脂，一种红色颜料。2:多作化妆用品，也作国画颜料。～粉|～红。,yān,yān,yān,yān,yān,1,1,1,1,yan,yan,yan,yan,yan
脍,kuài,kuài,kuài	[膾]	切得很细的鱼或肉。～炙人口|食不厌精，～不厌细。,kuài,kuài,kuài,kuài,kuài,4,4,4,4,kuai,kuai,kuai,kuai,kuai
胼,pián,pián,pián	【胼胝（zhī）】 〈文〉茧子。,pián,pián,pián,pián,pián,2,2,2,2,pian,pian,pian,pian,pian
朕,zhèn,zhèn,zhèn	1:〈文〉我；我的，自秦始皇起专用作皇帝的自称。2:〈文〉预兆；征兆。～兆。,zhèn,zhèn,zhèn,zhèn,zhèn,4,4,4,4,zhen,zhen,zhen,zhen,zhen
脒,mǐ,mǐ,mǐ	有机化合物的一类。含有—C(=NH)NH2原子团的化合物。,mǐ,mǐ,mǐ,mǐ,mǐ,3,3,3,3,mi,mi,mi,mi,mi
胺,àn,àn,àn	有机化合物的一类。由氨分子中部分或全部氢原子被烃（tīng）基取代而成的化合物。胺类大都具有弱碱性。胺类中的苯胺是合成染料、药物等的原料。,àn,àn,àn,àn,àn,4,4,4,4,an,an,an,an,an
鸱,chī,chī,chī	[鴟]	【鸱鸮（xiāo）】 泛指猫头鹰一类的鸟。,chī,chī,chī,chī,chī,1,1,1,1,chi,chi,chi,chi,chi
玺,xǐ,xǐ,xǐ	[璽]	印，自秦代开始玺专指帝王的印。玉～|掌～。,xǐ,xǐ,xǐ,xǐ,xǐ,3,3,3,3,xi,xi,xi,xi,xi
鸲,qú,qú,qú	[鴝]	鸟名，身体小，尾巴长，喙短而尖，羽毛美丽，种类较多，常见的有鹊鸲。,qú,qú,qú,qú,qú,2,2,2,2,qu,qu,qu,qu,qu
狷,juàn,juàn,juàn	1:〈文〉急躁；偏激。～急|～狭|～傲。2:〈文〉正直；耿直。～介。,juàn,juàn,juàn,juàn,juàn,4,4,4,4,juan,juan,juan,juan,juan
猁,lì,lì,lì	【猞（shē）猁】 见“猞”。,lì,lì,lì,lì,lì,4,4,4,4,li,li,li,li,li
狳,yú,yú,yú	【犰（qiú）狳】 见“犰”。,yú,yú,yú,yú,yú,2,2,2,2,yu,yu,yu,yu,yu
猃,xiǎn,xiǎn,xiǎn	[獫]	【猃狁（yǔn）】 中国古代北方的民族，是匈奴的祖先。,xiǎn,xiǎn,xiǎn,xiǎn,xiǎn,3,3,3,3,xian,xian,xian,xian,xian
狺,yín,yín,yín	【狺狺】 〈文〉拟声词。狗叫的声音。猛犬～|～狂吠。,yín,yín,yín,yín,yín,2,2,2,2,yin,yin,yin,yin,yin
逖,tì,tì,tì	〈文〉远；遥远。～远。,tì,tì,tì,tì,tì,4,4,4,4,ti,ti,ti,ti,ti
桀,jié,jié,jié	1:凶暴。～骜不驯。2:（Jié）夏代最后的君主，相传是个暴君。,jié,jié,jié,jié,jié,2,2,2,2,jie,jie,jie,jie,jie
袅,niǎo,niǎo,niǎo	[裊]	1.1:【袅袅】 烟气缭绕上升的样子。炊烟～。1.2:【袅袅】 细长柔软的东西随风摆动的样子。垂柳～。1.3:【袅袅】 声音婉转悠扬不绝。余音～。2.1:【袅娜（nuó）】 草木柔软细长的样子。柳丝～。2.2:【袅娜（nuó）】 女子体态轻盈柔美的样子。舞姿～。,niǎo,niǎo,niǎo,niǎo,niǎo,3,3,3,3,niao,niao,niao,niao,niao
饽,bō,bō,bō	[餑]	【饽饽（bo）】 馒头一类的面食，也指用杂粮面制成的块状食品。硬面～|贴～。,bō,bō,bō,bō,bō,1,1,1,1,bo,bo,bo,bo,bo
凇,sōng,sōng,sōng	雾气、雨滴遇冷而凝聚在树枝等上面的白色松散冰晶，分为雾凇和雨凇两种，通称“树挂、冰挂”。,sōng,sōng,sōng,sōng,sōng,1,1,1,1,song,song,song,song,song
栾,luán,luán,luán	[欒]	1:栾树，落叶乔木。花淡黄色，果实椭圆形。木材可用来制器具，花可做黄色染料，叶子含鞣质，可制栲胶，也可做青色染料，种子可榨油。2:（Luán）姓。,luán,luán,luán,luán,luán,2,2,2,2,luan,luan,luan,luan,luan
挛,luán,luán,luán	[攣]	手脚蜷曲不能伸直。～缩|痉～。,luán,luán,luán,luán,luán,2,2,2,2,luan,luan,luan,luan,luan
亳,bó,bó,bó	亳州，地名。在安徽西北部。,bó,bó,bó,bó,bó,2,2,2,2,bo,bo,bo,bo,bo
疳,gān,gān,gān	疳积，中医指小儿面黄肌瘦、腹部膨大的胃肠病。多由断乳后饮食失调、脾胃损伤或寄生虫引起。,gān,gān,gān,gān,gān,1,1,1,1,gan,gan,gan,gan,gan
疴,kē,kē,kē	疾病。沉～（重病）|染～|养～。,kē,kē,kē,kē,kē,1,1,1,1,ke,ke,ke,ke,ke
疸,dǎn,dǎn,dǎn 	【黄疸】 人的皮肤、黏膜和眼球巩膜呈黄色的症状。由血液中胆红素增高而引起，常见于某些肝病、胆囊病和血液病。,dǎn,dǎn,dǎn,dǎn,dǎn,3,3,3,3,dan,dan,dan,dan,dan
疽,jū,jū,jū	中医指局部皮肤肿胀、坚硬而皮色不变的毒疮。痈～。,jū,jū,jū,jū,jū,1,1,1,1,ju,ju,ju,ju,ju
痈,yōng,yōng,yōng	[癰]	皮肤或皮下组织化脓性炎症，由金黄色葡萄球菌入侵引起，多发于颈背部，皮肤红肿变硬，有多个脓头，疼痛剧烈，并伴有畏寒、发热等症状。,yōng,yōng,yōng,yōng,yōng,1,1,1,1,yong,yong,yong,yong,yong
疱,pào,pào,pào	皮肤上长的像水泡的小疙瘩。～疹|水～。,pào,pào,pào,pào,pào,4,4,4,4,pao,pao,pao,pao,pao
痂,jiā,jiā,jiā	由伤口或疮口的表面渗出物结成的硬壳，痊愈后自然脱落。疮～|结～。,jiā,jiā,jiā,jiā,jiā,1,1,1,1,jia,jia,jia,jia,jia
痉,jìng,jìng,jìng	[痙]	【痉挛（luán）】 骨骼肌或平滑肌不自主地收缩。通称“抽筋”。,jìng,jìng,jìng,jìng,jìng,4,4,4,4,jing,jing,jing,jing,jing
衮,gǔn,gǔn,gǔn	古代帝王、王公的礼服。～服（天子的礼服）|～冕（衮服和冕旒）。,gǔn,gǔn,gǔn,gǔn,gǔn,3,3,3,3,gun,gun,gun,gun,gun
凋,diāo,diāo,diāo	1:（草木花叶）枯萎脱落。～零|～落|～谢。2:衰败；疲敝困苦。～残|～敝。,diāo,diāo,diāo,diāo,diāo,1,1,1,1,diao,diao,diao,diao,diao
颃,háng,háng,háng	[頏]	【颉（xié）颃】 见“颉”。,háng,háng,háng,háng,háng,2,2,2,2,hang,hang,hang,hang,hang
恣,zì,zì,zì	放纵；不受拘束。～肆|～情|～意妄为。,zì,zì,zì,zì,zì,4,4,4,4,zi,zi,zi,zi,zi
旆,pèi,pèi,pèi	古代旌旗边上下垂的像燕尾的装饰品，泛指旌旗。旌～蔽野。,pèi,pèi,pèi,pèi,pèi,4,4,4,4,pei,pei,pei,pei,pei
旄,máo,máo#mào,máo	古代用牦牛尾做装饰的旗子。,máo#mào,máo#mào,máo#mào,máo#mào,máo#mào,2#4,2#4,2#4,2#4,mao#mao,mao,mao,mao,mao
旃,zhān,zhān,zhān	〈文〉助词。 相当于“之焉”两字连用，表示语气。愿勉～，毋多谈。,zhān,zhān,zhān,zhān,zhān,1,1,1,1,zhan,zhan,zhan,zhan,zhan
阃,kǔn,kǔn,kǔn	[閫]	1:〈文〉门槛。居不越～。2:〈文〉妇女居住的内室。～闱|闺～。3:〈文〉借指妇女，特指妻子。～范|令～。,kǔn,kǔn,kǔn,kǔn,kǔn,3,3,3,3,kun,kun,kun,kun,kun
阄,jiū,jiū,jiū	[鬮]	为赌胜负或对有争议的事情作出决定而抓取的纸团或纸片，上面做有记号。抓～儿|拈～儿。,jiū,jiū,jiū,jiū,jiū,1,1,1,1,jiu,jiu,jiu,jiu,jiu
訚,yín,yín,yín	[誾]	〈文〉和颜悦色地直言劝阻的样子，也指谦和而恭敬的样子。,yín,yín,yín,yín,yín,2,2,2,2,yin,yin,yin,yin,yin
阆,láng,làng,làng	[閬]	用于地名。～中（在四川）。,làng#láng,làng#láng,làng#láng,làng#láng,làng#láng,4#2,4#2,4#2,4#2,lang#lang,lang,lang,lang,lang
恙,yàng,yàng,yàng	疾病。小～|贵～|无～。,yàng,yàng,yàng,yàng,yàng,4,4,4,4,yang,yang,yang,yang,yang
粑,bā,bā,bā	饼类食物。糍～|玉米～|绿豆～。,bā,bā,bā,bā,bā,1,1,1,1,ba,ba,ba,ba,ba
朔,shuò,shuò,shuò	1:农历每月初一，月球运行到地球和太阳之间，在地球上见不到月光，这种月相叫朔。2:指农历每月初一。～日｜～望（初一和十五）。3:北；北方。～方｜～风｜～边。,shuò,shuò,shuò,shuò,shuò,4,4,4,4,shuo,shuo,shuo,shuo,shuo
郸,dān,dān,dān	[鄲]	用于地名。～城（在河南）|邯～（在河北南部）。,dān,dān,dān,dān,dān,1,1,1,1,dan,dan,dan,dan,dan
烜,xuǎn,xuǎn,xuǎn	〈文〉盛大；显著。～赫。,xuǎn,xuǎn,xuǎn,xuǎn,xuǎn,3,3,3,3,xuan,xuan,xuan,xuan,xuan
烨,yè,yè,yè	[燁]	1:〈文〉明亮。2:〈文〉火光很盛的样子。,yè,yè,yè,yè,yè,4,4,4,4,ye,ye,ye,ye,ye
烩,huì,huì,huì	[燴]	1:把菜放入油锅中翻炒后，加汤烧煮。～菜|～什锦。2:把主食和菜混在一起煮。～饭|～饼|杂～。,huì,huì,huì,huì,huì,4,4,4,4,hui,hui,hui,hui,hui
烊,yáng,yáng#yàng,1yáng	熔化；溶化。～锡|糖～了。#####2yàng	【打烊】 商店晚上关门停止营业。,yáng#yàng,yáng#yàng,yáng#yàng,yáng#yàng,yáng#yàng,2#4,2#4,2#4,2#4,yang#yang,yang,yang,yang,yang
剡,shàn,yǎn#shàn,shàn	剡溪，水名，在浙江，即曹娥江上游。,yǎn#shàn,yǎn#shàn,yǎn#shàn,yǎn#shàn,yǎn#shàn,3#4,3#4,3#4,3#4,yan#shan,yan#shan,yan#shan,yan#shan,yan#shan
郯,tán,tán,tán	用于地名。～城（在山东）。,tán,tán,tán,tán,tán,2,2,2,2,tan,tan,tan,tan,tan
烬,jìn,jìn,jìn	[燼]	物体燃烧后剩下的东西。灰～|余～。,jìn,jìn,jìn,jìn,jìn,4,4,4,4,jin,jin,jin,jin,jin
涑,sù,sù,sù	涑水，水名，在山西，是黄河的支流。,sù,sù,sù,sù,sù,4,4,4,4,su,su,su,su,su
浯,wú,wú,wú	浯河，水名，在山东东部。,wú,wú,wú,wú,wú,2,2,2,2,wu,wu,wu,wu,wu
涞,lái,lái,lái	[淶]	用于地名。～水（在河北）。,lái,lái,lái,lái,lái,2,2,2,2,lai,lai,lai,lai,lai
涟,lián,lián,lián	[漣]	1:水面的波纹。～漪（yī）。2:泪流不断的样子。泪水～～。,lián,lián,lián,lián,lián,2,2,2,2,lian,lian,lian,lian,lian
娑,suō,suō,suō	1:【婆娑】 盘旋起舞的样子。～起舞。2:【婆娑】 枝叶散开下垂的样子。树影～。,suō,suō,suō,suō,suō,1,1,1,1,suo,suo,suo,suo,suo
涅,niè,niè,niè	1:〈文〉可做黑色染料的矾石。～石。2:〈文〉染成黑色。,niè,niè,niè,niè,niè,4,4,4,4,nie,nie,nie,nie,nie
涠,wéi,wéi,wéi	[潿]	【涠洲】 岛名，在广西北海市南部海域。,wéi,wéi,wéi,wéi,wéi,2,2,2,2,wei,wei,wei,wei,wei
浞,zhuó,zhuó,zhuó	淋；淋湿。在雨地里～着|衣服～湿了。,zhuó,zhuó,zhuó,zhuó,zhuó,2,2,2,2,zhuo,zhuo,zhuo,zhuo,zhuo
涓,juān,juān,juān	细小的流水。～滴|～流。,juān,juān,juān,juān,juān,1,1,1,1,juan,juan,juan,juan,juan
浥,yì,yì,yì	〈文〉沾湿；润湿。渭城朝雨～轻尘。,yì,yì,yì,yì,yì,4,4,4,4,yi,yi,yi,yi,yi
涔,cén,cén,cén	【涔涔】 〈文〉形容汗、泪、雨等不断地流出或滴下。汗～｜～泪下｜雨～。,cén,cén,cén,cén,cén,2,2,2,2,cen,cen,cen,cen,cen
浜,bāng,bāng,bāng	小河沟。多用于地名。沙家～（在江苏）。,bāng,bāng,bāng,bāng,bāng,1,1,1,1,bang,bang,bang,bang,bang
浠,xī,xī,xī	1:【浠水】 水名。在湖北，是长江的支流。2:【浠水】 地名。在湖北。,xī,xī,xī,xī,xī,1,1,1,1,xi,xi,xi,xi,xi
浣,huàn,huàn,huàn	〈文〉洗。～衣|～纱。,huàn,huàn,huàn,huàn,huàn,4,4,4,4,huan,huan,huan,huan,huan
浚,jùn,jùn#xùn,1jùn	疏通；挖深水道。～河|疏～|修～。#####2xùn	浚县，地名，在河南。,jùn#xùn,jùn#xùn,jùn#xùn,jùn#xùn,jùn#xùn,4#4,4#4,4#4,4#4,jun#xun,jun#xun,jun#xun,jun#xun,jun#xun
悚,sǒng,sǒng,sǒng	害怕；恐惧。～惧｜震～｜惶～｜毛骨～然。,sǒng,sǒng,sǒng,sǒng,sǒng,3,3,3,3,song,song,song,song,song
悭,qiān,qiān,qiān	[慳]	1:吝啬（lìn sè）；小气。～吝|～啬。2:缺少；欠缺。缘～一面（缺少见一面的机会和缘分）。,qiān,qiān,qiān,qiān,qiān,1,1,1,1,qian,qian,qian,qian,qian
悝,kuī,kuī#lǐ,kuī	〈文〉嘲笑；诙谐。,kuī#lǐ,kuī#lǐ,kuī#lǐ,kuī#lǐ,kuī#lǐ,1#3,1#3,1#3,1#3,kui#li,kui#li,kui#li,kui#li,kui#li
悒,yì,yì,yì	愁闷；忧郁不安。～闷|忧～|～～不乐。,yì,yì,yì,yì,yì,4,4,4,4,yi,yi,yi,yi,yi
悌,tì,tì,tì	敬爱兄长。孝～。,tì,tì,tì,tì,tì,4,4,4,4,ti,ti,ti,ti,ti
悛,quān,quān,quān	悔改。怙（hù）恶（è）不～。,quān,quān,quān,quān,quān,1,1,1,1,quan,quan,quan,quan,quan
宸,chén,chén,chén	1:〈文〉大而深的房屋。～宇。2:〈文〉帝王的住所，借指帝王或王位。～居｜紫～｜～章（帝王写的文章）｜登～。,chén,chén,chén,chén,chén,2,2,2,2,chen,chen,chen,chen,chen
窈,yǎo,yǎo,yǎo	1:〈文〉深远；幽深。2:〈文〉昏暗。,yǎo,yǎo,yǎo,yǎo,yǎo,3,3,3,3,yao,yao,yao,yao,yao
剜,wān,wān,wān	用刀子等挖。～野菜|～肉补疮。,wān,wān,wān,wān,wān,1,1,1,1,wan,wan,wan,wan,wan
诹,zōu,zōu,zōu	[諏]	〈文〉商量；咨询。～吉（商订吉日）|～访|咨～（询问政事）。,zōu,zōu,zōu,zōu,zōu,1,1,1,1,zou,zou,zou,zou,zou
冢,zhǒng,zhǒng,zhǒng	坟墓。古～|荒～|义～|衣冠～（没有尸骨，只埋有死者衣物的坟墓）。,zhǒng,zhǒng,zhǒng,zhǒng,zhǒng,3,3,3,3,zhong,zhong,zhong,zhong,zhong
诼,zhuó,zhuó,zhuó	[諑]	〈文〉造谣诽谤。谣～。,zhuó,zhuó,zhuó,zhuó,zhuó,2,2,2,2,zhuo,zhuo,zhuo,zhuo,zhuo
袒,tǎn,tǎn,tǎn	1:脱掉或敞开上衣，露出（身体的一部分）。～露|左～（露出左臂）|～胸露臂。2:无原则地维护。～护|偏～。,tǎn,tǎn,tǎn,tǎn,tǎn,3,3,3,3,tan,tan,tan,tan,tan
袢,pàn,pàn,pàn	【袷（qiā）袢】 见“袷”。,pàn,pàn,pàn,pàn,pàn,4,4,4,4,pan,pan,pan,pan,pan
祯,zhēn,zhēn,zhēn	[禎]	〈文〉吉祥。～祥。,zhēn,zhēn,zhēn,zhēn,zhēn,1,1,1,1,zhen,zhen,zhen,zhen,zhen
诿,wěi,wěi,wěi	[諉]	推卸；推脱。推～|～过。,wěi,wěi,wěi,wěi,wěi,3,3,3,3,wei,wei,wei,wei,wei
谀,yú,yú,yú	[諛]	用言语奉承。～辞|阿（ē）～|谄（chǎn）～。,yú,yú,yú,yú,yú,2,2,2,2,yu,yu,yu,yu,yu
谂,shěn,shěn,shěn	[諗]	〈文〉知道；详细了解。～知｜～悉。,shěn,shěn,shěn,shěn,shěn,3,3,3,3,shen,shen,shen,shen,shen
